##########################################################
#
# Helmet Mod by Junior_Djjr - MixMods.com.br
#
# Você pode recarregar este arquivo digitando "HTRL" como um cheat.
# Digite "TESTHELMET" para ativar o modo de teste (todos os peds com capacete).
#
#############################
# Configurações de capacetes
# Descrição: escolher estilo e uso de cada capacete
# A - ID do capacete, máximo 50 (também ID da textura)
# B - ID do DFF (helmetmod_*.dff)
# C - Tipo de moto:
#     0 - É comum (para PCJ-600, BF-400 etc (padrão))
#     1 - É motocross (para Sanchez)
#     2 - É policial (para HPV-1000)
#     3 - É chopper (para Freeway) 
#     4 - É especial (para uso personalizado)
# D - Gênero:
#     0 - Qualquer gênero
#     1 - Somente feminino
# E - Estilo:
#     0 - Qualquer estilo
#     1 - Somente jovens

#A B  C D E
helmets
1  1  0 0 0
2  1  0 0 0
3  1  0 0 1
4  1  0 1 0
5  1  0 1 0
6  1  0 0 0
7  1  0 0 0
8  1  0 1 1
9  1  0 0 1
10 1  0 0 1
11 1  0 0 0
12 1  0 0 1
13 2  1 0 1
14 2  1 0 1
15 2  1 1 1
end

#############################
# Configurações de motos
# Descrição: escolher quais modelos de motos são cada estilo
# A - Tipo de moto:
#     0 - Usar comum (não use aqui, é o padrão para outras motos)
#     1 - Usar motocross (para Sanchez, mas o comum também é usado)
#     2 - Usar policial (para HPV-1000)
#     3 - Usar chopper (para Freeway) 
#     4 - Usar special
# B - Modelos:
#     Liste no máximo 10 IDs de modelos de motos aqui (veja vehicles.ide)
#     Por exemplo, se você quer a Wayfarer (586) usando capacetes da Sanchez (468), edite a linha "1 468" para "1 468 586"
#     É compatível com motos adicionadas sem substituir.

#A B

bikes
1 468
2 523
3 463
end

#############################
# Configurações de modelos
# Descrição: escolher posição e tamanho para cada modelo de pessoa
# A - ID do modelo do ped (veja peds.ide, Skin Selector, gtagmodding.com/sanandreas/peds/ etc)
# B - Altura
# C - Frente
# D - Tamanho (deixe "0.0" para desativar o capacete)
# Nota: modelos de capacete são selecionados aleatoriamente com base em ped pedtype e pedstats (na linha de peds.ide)
# Nota: tente preservar a ordem dos IDs de menor para maior

#A   B     C     D

models
0    0.15  0.0   0.93  # CJ
7    0.1   0.1   1.05
9    -0.1  0.0   1.0
10   0.0   0.0   0.95
11   -0.04 0.0   0.97
12   -0.05 -0.1  1.0
13   0.0   0.0   0.0
14   0.0   0.0   1.05
16   0.0   0.0   0.0
17   0.1   0.0   1.0
18   -0.07 0.0   1.0
19   0.0   0.1   1.06
20   0.1   0.0   1.03
22   0.08  0.18  1.11
23   0.0   0.0   0.0
24   0.0   0.0   0.0
26   0.05  0.05  1.03
27   0.0   0.0   0.0
28   0.0   0.05  1.05
29   0.0   0.0   0.0
30   0.0   0.05  1.05
31   0.0   0.0   0.0
32   0.0   -0.07 0.95
33   0.0   0.0   0.0
34   0.0   0.0   0.0
35   0.0   0.0   0.0
36   0.0   0.0   0.0
37   0.0   0.0   0.0
38   0.0   0.0   0.0
39   -0.05 0.0   0.95
40   -0.05 -0.15 1.03
41   0.0   0.0   0.0
43   -0.3  0.0   0.93
44   0.0   0.05  0.95
45   -0.1  -0.05 1.0
46   0.0   0.15  1.03
47   0.0   0.13  1.0
48   0.0   0.0   1.1
49   0.0   0.0   0.93
50   0.05  -0.25 1.05
51   0.0   0.0   0.0
52   0.0   0.0   0.0
53   0.02  0.32  1.0
54   0.0   0.15  0.97
55   -0.05 -0.11 1.0
56   0.0   -0.13 1.0
57   0.25  0.05  1.0
58   0.0   0.0   0.9
59   0.1   0.1   1.07
61   0.0   0.0   0.0
62   0.0   0.07  0.97
63   0.0   -0.05 1.0
64   -0.05 0.0   0.97
68   0.0   0.15  0.95
70   0.0   0.1   1.0
71   0.0   0.15  1.03
75   0.0   0.15  1.03
76   0.0   -0.1  1.0
77   0.0   0.0   0.0
78   0.0   0.1   1.05
79   0.0   0.0   0.95
80   0.0   0.0   0.95
81   0.0   0.0   0.95
82   0.0   0.0   0.0
83   0.0   0.0   0.0
84   0.0   0.0   0.0
85   0.0   0.15  1.07
87   0.0   0.15  1.05
88   0.0   0.15  1.0
89   0.0   -0.15 1.0
90   0.0   -0.07 1.0
91   0.0   -0.1  1.03
92   0.0   0.0   0.0
94   -0.1  0.0   0.9
95   0.0   -0.15 0.9
97   -0.2  0.0   1.05
98   -0.03 0.1   1.0
99   0.0   0.0   0.0
100  0.05  0.0   1.05
101  -0.05 0.05  1.07
102  -0.07 0.08  1.06
103  -0.03 0.05  1.1
104  0.08  0.0   1.09
105  0.0   0.0   1.08
106  0.0   0.0   1.05
107  0.15  -0.05 1.08
108  0.05  0.05  1.03
109  0.0   0.05  1.05
110  0.0   0.05  1.05
111  0.03  0.0   0.97
112  0.03  0.0   0.94
113  0.03  0.0   1.05
114  0.03  0.05  1.05
115  0.07  0.05  1.07
116  0.0   0.07  1.07
117  0.0   0.05  0.95
118  0.0   0.05  0.95
120  0.0   0.0   1.03
