// Generated using In-game Timecyc Editor written by fastman92
// You can find this script on gtaforums.com

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
13 13 13	137 137 137	255 255 255	0 0 2	1 1 4	255 135 6	255 0 0	1 1 0.6 200 100 0 1650 400 1.2	43 43 43	31 42 55	25 36 43 250	127 70 70 70	127 0 0 0	180 80 0 0
//5AM
68 68 68	90 102 120	255 255 255	5 10 18	15 23 35	255 128 0	255 0 0	2.5 0.8 0.7 200 100 0 1600 400 1.5	0 0 0	58 76 99	53 62 68 250	15 70 70 70	15 0 0 0	220 80 0 0
//6AM
42 42 42	188 188 188	255 255 255	81 110 149	200 144 85	255 128 0	0 0 0	0 0.7 0.5 200 100 0 1600 400 1.4	100 34 25	204 163 127	160 160 160 252	50 47 58 70	40 0 0 0	255 80 0 0
//7AM
55 55 55	182 169 161	255 255 255	94 128 153	218 188 143	255 150 13	55 128 0	8.4 1 0.5 140 50 75 1600 400 0.3	120 40 40	169 200 211	145 170 170 240	40 173 106 60	40 78 92 99	225 80 0 1
//Midday
115 102 85	154 137 123	255 255 255	113 140 205	140 181 237	255 208 147	255 128 64	3.1 1 0.5 200 40 30 1950 400 0.3	49 37 25	192 212 219	44 215 215 240	75 128 102 65	75 82 89 89	255 80 0 1
//7PM
65 56 54	168 147 134	255 255 255	77 134 178	218 199 187	255 133 12	153 69 0	4.4 1 0.6 170 50 75 1650 40 0.3	120 40 40	191 199 229	145 170 170 240	35 133 106 60	30 129 110 2	225 80 0 1
//8PM
7 7 7	204 178 160	255 255 255	28 62 88	139 111 82	255 150 13	128 72 0	5.4 1 0.3 150 50 75 1600 40 0.5	120 40 40	145 140 124	145 170 170 240	20 173 106 70	20 184 172 126	255 80 0 0
//10PM
30 30 30	143 131 123	255 255 255	5 8 15	9 24 45	255 135 6	5 0 0	1 0.4 0.4 200 100 0 1810 40 0.8	0 0 0	41 62 87	19 40 56 250	52 70 70 70	52 0 0 0	120 80 0 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
15 15 15	76 69 65	255 255 255	0 1 2	1 2 5	255 135 6	5 0 0	1 0.9 0.7 200 100 0 1760 400 1.5	0 0 0	12 19 28	5 19 27 255	127 70 70 70	127 0 0 0	150 80 0 0
//5AM
34 34 34	125 125 125	255 255 255	5 12 27	12 17 22	255 128 0	255 0 0	3.5 1 0.7 200 100 0 1600 400 1.5	14 18 30	30 49 61	36 55 68 240	30 70 70 70	30 0 0 0	255 80 0 0
//6AM
42 42 42	188 188 188	255 255 255	68 130 173	186 134 83	255 128 0	64 0 0	2 0.8 0.4 200 100 0 1600 400 1.5	68 42 26	178 113 82	78 100 111 255	50 161 106 60	50 0 0 0	255 80 0 0
//7AM
51 51 51	182 182 182	255 255 255	77 135 193	158 197 237	255 173 81	255 130 46	6.4 2.5 0.4 100 50 75 1600 400 0.3	17 27 28	224 224 224	108 229 255 234	40 255 128 0	40 89 132 155	255 80 0 1
//Midday
104 99 91	181 173 170	255 255 255	84 125 193	162 181 224	255 203 91	128 53 0	3.8 1 0.6 190 0 75 1810 400 0.1	9 24 32	191 213 231	30 177 191 231	75 155 103 51	75 43 81 81	255 80 0 1
//7PM
42 42 42	188 182 174	255 255 255	80 124 164	198 149 109	255 150 13	128 81 0	4.4 1 0.4 150 50 75 1800 400 0.5	101 50 41	226 188 172	145 170 170 240	25 255 128 0	25 102 134 157	255 80 0 0
//8PM
10 10 10	180 167 158	255 255 255	44 68 90	136 107 81	255 150 13	155 0 0	2 1 0.7 151 60 75 1600 130 0.7	17 17 17	131 141 145	62 115 124 240	10 173 106 70	10 75 75 55	255 80 0 0
//10PM
14 14 14	145 145 145	255 255 255	1 5 9	1 4 7	255 135 6	5 0 0	1 1 0.7 200 100 0 1750 110 0.8	0 0 0	59 63 91	13 24 33 240	127 70 70 70	127 0 0 0	70 80 0 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
12 12 12	143 131 123	255 255 255	5 12 15	9 11 14	255 135 6	255 0 0	1 0.9 0.6 200 100 0 1600 1000 1.2	0 0 0	49 83 140	38 45 55 240	127 70 70 70	127 0 0 0	100 80 0 0
//5AM
68 68 68	163 163 163	255 255 255	54 87 112	135 126 92	255 128 0	255 0 0	2 0.8 0.6 200 100 0 1600 500 1.5	0 0 0	210 224 232	53 62 68 240	20 70 70 70	20 0 0 0	225 80 0 0
//6AM
42 42 42	188 188 188	255 255 255	184 172 126	200 144 85	255 128 0	255 255 0	0 0.7 0.6 200 100 0 1600 200 1.5	100 34 25	221 218 162	185 160 160 240	25 161 106 60	25 0 0 0	255 80 0 1
//7AM
80 80 80	182 150 129	255 255 255	125 171 201	179 213 226	255 150 13	128 102 0	8.4 1 0.6 120 50 75 1700 40 0.3	120 40 40	190 214 222	145 170 170 240	20 173 106 60	10 78 92 99	225 80 0 1
//Midday
51 51 51	172 178 185	255 255 255	92 132 171	127 168 184	255 128 64	128 0 0	4.5 1 0.6 100 0 0 1600 40 0.1	44 34 23	174 203 215	90 170 170 240	75 203 118 60	75 72 83 94	255 80 0 1
//7PM
55 55 55	174 151 134	255 255 255	108 144 171	167 191 201	255 150 13	55 128 0	4.4 1 0.6 100 50 75 1600 40 0.3	120 40 40	167 191 201	145 170 170 240	20 133 106 60	30 129 110 2	225 80 0 1
//8PM
8 8 8	182 138 109	255 255 255	128 173 200	223 164 138	255 150 13	55 128 0	5.4 1 0.5 100 50 75 1600 40 0.5	120 40 40	210 224 232	145 170 170 240	10 173 106 70	10 181 150 130	255 80 0 1
//10PM
30 30 30	143 131 123	255 255 255	5 12 15	7 19 29	255 135 6	5 0 0	1 0.4 0.4 200 100 0 1800 40 0.8	0 0 0	72 102 138	35 49 53 240	127 70 70 70	127 0 0 0	120 0 0 0
//
//////////// SUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
36 36 36	143 131 123	255 255 255	1 7 15	12 12 14	255 135 6	5 0 0	1 0.9 0.6 200 100 0 1600 155 1.2	12 18 22	93 106 125	38 38 55 240	127 70 70 70	127 0 0 0	100 80 0 1
//5AM
52 52 52	173 173 173	255 255 255	67 97 121	133 127 105	255 128 0	255 0 0	1 0.7 0.6 200 100 0 1600 155 1.5	0 0 0	210 224 232	53 62 68 240	25 70 70 70	25 0 0 0	225 80 0 0
//6AM
42 42 42	233 233 233	255 255 255	96 137 170	127 217 255	255 128 0	255 128 0	2 0.9 0.8 200 100 0 1600 400 0.5	0 0 0	167 191 201	185 160 160 240	25 161 106 60	25 0 0 0	255 80 0 0
//7AM
55 55 55	182 138 109	255 255 255	119 161 176	218 188 143	255 150 13	55 128 0	4.4 1 0.6 100 50 75 1600 400 0.3	0 0 0	197 217 224	145 170 170 240	10 173 106 60	10 78 92 99	225 80 0 1
//Midday
60 60 60	180 209 237	255 255 255	87 129 196	128 171 219	223 223 0	128 0 0	4.1 1 0.6 100 0 0 1600 320 0.1	22 22 22	145 155 159	90 170 170 240	75 203 118 60	75 72 83 94	255 80 0 1
//7PM
55 55 55	174 151 134	255 255 255	62 128 149	167 191 201	255 150 13	55 128 0	4.4 1 0.7 100 50 75 1600 40 0.5	43 43 43	229 215 166	145 170 170 240	15 133 106 60	15 78 92 99	225 80 0 1
//8PM
42 42 42	163 151 143	255 255 255	115 143 165	149 119 107	255 150 13	155 0 0	2 0.4 0.4 100 60 0 1600 40 0.7	51 51 51	167 191 201	67 67 67 240	10 173 106 70	10 75 75 55	225 80 0 1
//10PM
32 32 32	143 131 123	255 255 255	5 12 15	8 10 14	255 135 6	5 0 0	1 0.4 0.4 200 100 0 1600 40 0.8	16 16 16	134 155 181	46 54 71 240	80 70 70 70	80 0 0 0	120 0 0 1
//
//////////// CLOUDY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
12 12 12	176 176 176	255 255 255	4 6 11	11 13 15	0 0 0	0 0 0	1 0.8 0.6 200 100 0 2800 79 1.5	30 20 0	6 16 21	59 68 77 240	32 124 124 124	32 16 48 10	30 80 0 0
//5AM
42 42 42	135 173 197	255 255 255	24 30 50	20 20 20	0 0 0	0 0 0	0 1 0.6 200 100 0 2800 65514 1.3	70 27 10	145 182 213	59 68 77 240	50 124 124 124	50 0 48 20	20 80 0 1
//6AM
54 47 45	227 227 227	255 255 255	49 61 84	109 85 71	0 0 0	0 0 0	3.4 0.9 0.4 200 100 0 2800 360 0.9	100 34 25	145 182 213	62 72 77 240	30 124 124 124	20 0 48 20	80 80 0 0
//7AM
